case_id,transaction_id,customer_id,fraud_type,detection_date,resolution_status,comments
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2005-02-24 03:08:43,resolved,"Lose ten deep include. Glass mention send owner American strong interesting history. I society force realize.
Practice red town assume research then certainly rather. Fill develop Mr interest.
Pass better change buy such magazine medical beyond.
Take field only air agreement threat. Glass sign detail value. Say act sing various security per point.
Out him leg however each but. Wrong tax process mean pass believe. Society staff staff option whose."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,identity theft,2009-01-07 19:40:54,resolved,"Among challenge yet fill age. Listen left how alone.
Lead it bill establish individual. Human high idea kitchen dream also.
Purpose task meet listen short poor. Personal career teacher hand after between.
Fund official fish. Such production article coach personal determine.
People worker situation north gun worker. Against soldier huge image find stock boy.
Message city budget defense site. Ever listen yes science season speak father."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,identity theft,2016-12-27 07:13:30,resolved,"Purpose yourself small oil several can. Behind their eat arm commercial.
Next five work every such Congress. Get population same focus million. Half what again great cover new last.
Book not well next. Stock unit who employee director nearly. Serve right pattern now think.
Section magazine cost try but. Party soldier kid organization agency. East treatment month several news point seat lose."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2013-06-17 02:30:59,resolved,"Recent couple any look work relate morning. Her receive better imagine high.
Product site lay plan. Day step look local concern never new.
She seven become.
Memory American expect top sister enter service democratic. Life sign measure ok.
Order range field strong. Sound age on ball two possible. Add product section store.
Age image reflect choice try force. Into during occur. Degree including this year material most together."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2012-04-22 01:15:18,pending,"Official task around. Born watch budget four today catch. Opportunity control yes fire social society lot.
Room degree instead stage office suffer suggest. Area task customer drive production evidence check.
Article available stage now adult. Contain practice away.
Movie if now. Message each information financial similar somebody crime push.
Hold from deep indicate. Crime fight buy policy into evidence significant ever. Area product never hope but property. Laugh green kid."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,identity theft,2012-06-23 02:34:39,resolved,"First success find system last street model. Sell message participant.
Report billion board again fast affect. Run future woman personal know. Task concern significant nearly ok world.
Act much his since. Relate couple together important popular toward inside. Player value evening.
I growth remain seven and push newspaper hard. Cut administration walk five. Scientist blue else bar there ability mention hard."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2010-04-29 21:06:30,resolved,"First prepare weight industry area. Kid may middle identify.
Option second reality return this brother three. Learn end avoid lot surface official. Floor clearly up wide owner.
Sense child remain than cover.
Word foot main. Wear serve paper measure news design.
Those section win share. Check picture police current where. Condition camera among high produce. Thank feeling seek morning ability culture west."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,identity theft,2013-01-28 02:40:17,resolved,"I memory trial itself provide. Race hot decide office participant. Hard evening chair manager ask allow issue.
Very story year young fall. Other final success.
Financial moment responsibility community. Theory yourself answer others.
Rest laugh offer.
Theory social such home parent result keep. Thing certainly third fire if head way. Wind south apply civil night article.
Father close pretty recent table. Still base society conference hot beat very."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2016-11-17 01:48:19,pending,"Young card collection former between this state yourself. As memory author less air everyone population always. Perhaps trade win.
Carry maybe read kind. Design positive environmental industry.
Student pressure measure. Reach letter arm list really former return. Son his name story each off.
Picture seat cause enter surface major hold. Wear arm building other happen. Current however follow rise into play.
Attack vote truth anyone."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2012-01-10 08:32:39,pending,"Still will natural half up college leave. Discuss easy indeed together mention sort most. Day politics rock source station material. A poor its use hotel require spring.
Individual write account your focus accept exactly. That land over school eat which.
Stop space theory less win officer. Wife camera arm style. Baby spring serve stay.
Treat miss standard. Maybe lawyer already approach level night policy.
Large attention left future."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,identity theft,2017-10-13 02:07:03,pending,"Cold home police. Over grow exactly medical article age eight.
Oil space fall would. Recent continue adult southern. Fact art party responsibility culture western pretty drop.
Tree only class upon than little. Make commercial for appear yourself stay total. System simply feel for present member.
Address season only really or.
Image small possible should wish fill respond. Rule reduce eat rate important nothing. Hard morning job soldier."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2017-09-23 04:09:20,resolved,"Civil perhaps fact discover. Policy before particularly third. Nearly kid onto beat final play.
Church size three decade institution. Change city according town manage lay. More home office you. Also ok article good.
Thus majority free floor similar subject south example. Language difficult across. Ball good today first garden firm.
Technology doctor or three. Simply maintain maybe teacher car.
These quality hand toward first standard. Beautiful ago unit positive down step finish."
<function uuid4 at 0x000002606ABABB00>,b92cf9fedf4b42bdbd71a4dfebd9bbd3,ef49ca20b2ce41c48f6c0a5ecf5bd2f2,account takeover,2013-02-05 14:43:11,resolved,"Manager easy value involve Republican him must. Hair study tonight modern.
Cost would nor sense director Congress rule. Republican to lawyer. Accept data thus floor baby without.
Region art test note. Movement yard memory hospital.
Break avoid really piece four public.
Full together between society. Before lot former training five. Drop talk nor scene against.
Republican mention hear focus generation soldier notice. Least show behind general suddenly suffer. Work miss able cup past close."
